Title, Content, time for action, time from start 
'<b>ssp-ci-ipagent-master</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-ipagent-master</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-olinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-olinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtual Network [Manual]2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtual Network [Manual]2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>SSP Virtual Network [Auto]</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>SSP Virtual Network [Auto]</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>TB5-suma-mnt-ilinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>TB5-suma-mnt-ilinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-smtp-server</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-smtp-server</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-lnx1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-lnx1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtual Network [Manual]3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtual Network [Manual]3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-opagent-master</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-opagent-master</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-cluster-ilinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-cluster-ilinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-win2008</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-win2008</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-acs</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-acs</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtual Network [Manual]</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtual Network [Manual]</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-cluster-mlinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-cluster-mlinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-cluster-olinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-cluster-olinux</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtual Network [Auto Trunk]</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtual Network [Auto Trunk]</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>ssp-ci-vpagent_outside2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-vpagent_outside2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtual Network [Manual]1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtual Network [Manual]1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>SSP-Router-1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>SSP-Router-1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_2</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/Console</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/Console</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_3</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_4</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/Management0_0</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/Management0_0</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_6</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_6</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_8</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_8</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_7</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_7</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_5</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_5</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/Power 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/Power 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
